tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage & Larrabee,Armitage & Cleveland,2,4.93,0.43,18.6
20170621_2171_1035236,Armitage & Larrabee,Armitage & Cleveland,2,5.23,0.0,19.55
20170621_2170_1035092,Armitage & Larrabee,Armitage & Cleveland,2,5.57,0.75,13.55
20170621_2170_1035093,Armitage & Larrabee,Armitage & Cleveland,2,5.8,0.0,13.47
20170621_2170_1035094,Armitage & Larrabee,Armitage & Cleveland,2,6.02,0.5,18.9
20170621_2170_1035095,Armitage & Larrabee,Armitage & Cleveland,2,6.33,0.28,12.45
20170621_2170_1035096,Armitage & Larrabee,Armitage & Cleveland,2,6.53,0.4,18.2
20170621_2170_1035097,Armitage & Larrabee,Armitage & Cleveland,2,6.85,0.62,9.98
20170621_2170_10365464,Armitage & Larrabee,Armitage & Cleveland,2,7.02,0.52,7.53
20170621_2170_1035098,Armitage & Larrabee,Armitage & Cleveland,2,7.13,0.68,17.38
20170621_2170_1035100,Armitage & Larrabee,Armitage & Cleveland,2,7.42,3.53,10.05
20170621_2170_1035101,Armitage & Larrabee,Armitage & Cleveland,2,7.58,0.53,10.88
20170621_2170_1035102,Armitage & Larrabee,Armitage & Cleveland,2,7.77,0.0,4.92
20170621_2170_1035103,Armitage & Larrabee,Armitage & Cleveland,2,7.85,0.5,7.88
20170621_2170_1035104,Armitage & Larrabee,Armitage & Cleveland,2,7.98,0.0,13.72
20170621_2170_1035105,Armitage & Larrabee,Armitage & Cleveland,2,8.22,8.43,13.8
20170621_2170_1035106,Armitage & Larrabee,Armitage & Cleveland,2,8.45,0.0,15.37
20170621_2170_1035108,Armitage & Larrabee,Armitage & Cleveland,2,8.7,1.48,5.0
20170621_2170_1035107,Armitage & Larrabee,Armitage & Cleveland,2,8.78,0.0,25.65
20170621_2170_1035109,Armitage & Larrabee,Armitage & Cleveland,2,9.22,0.65,16.58
20170621_2170_1035110,Armitage & Larrabee,Armitage & Cleveland,2,9.48,0.5,7.55
20170621_2170_1035111,Armitage & Larrabee,Armitage & Cleveland,2,9.62,11.05,30.22
20170621_2170_1035112,Armitage & Larrabee,Armitage & Cleveland,2,10.12,0.57,1.05
20170621_2170_1035115,Armitage & Larrabee,Armitage & Cleveland,2,10.13,0.48,11.72
20170621_2170_1035116,Armitage & Larrabee,Armitage & Cleveland,2,10.33,0.5,21.3
20170621_2170_1035117,Armitage & Larrabee,Armitage & Cleveland,2,10.68,0.43,19.45
20170621_2170_1035118,Armitage & Larrabee,Armitage & Cleveland,2,11.02,0.0,10.82
20170621_2170_1035119,Armitage & Larrabee,Armitage & Cleveland,2,11.18,0.0,18.2
20170621_2170_1035120,Armitage & Larrabee,Armitage & Cleveland,2,11.5,0.0,27.15
20170621_2170_1035121,Armitage & Larrabee,Armitage & Cleveland,2,11.95,0.0,13.67
20170621_2170_1035122,Armitage & Larrabee,Armitage & Cleveland,2,12.17,0.53,40.43
20170621_2170_1035124,Armitage & Larrabee,Armitage & Cleveland,2,12.85,0.33,12.4
20170621_2170_1035125,Armitage & Larrabee,Armitage & Cleveland,2,13.05,0.5,16.53
20170621_2170_1035126,Armitage & Larrabee,Armitage & Cleveland,2,13.33,0.53,20.28
20170621_2170_1035127,Armitage & Larrabee,Armitage & Cleveland,2,13.67,0.0,18.5
20170621_2170_1035128,Armitage & Larrabee,Armitage & Cleveland,2,13.98,0.0,7.23
20170621_2170_1035129,Armitage & Larrabee,Armitage & Cleveland,2,14.1,0.85,14.12
20170621_2170_1035130,Armitage & Larrabee,Armitage & Cleveland,2,14.33,1.03,20.32
20170621_2170_1035131,Armitage & Larrabee,Armitage & Cleveland,2,14.67,0.0,4.15
20170621_2170_1035132,Armitage & Larrabee,Armitage & Cleveland,2,14.73,0.75,13.45
20170621_2170_1035133,Armitage & Larrabee,Armitage & Cleveland,2,14.97,1.13,9.7
20170621_2170_1035134,Armitage & Larrabee,Armitage & Cleveland,2,15.13,1.0,13.58
20170621_2170_1035135,Armitage & Larrabee,Armitage & Cleveland,2,15.35,0.0,11.08
20170621_2170_1035136,Armitage & Larrabee,Armitage & Cleveland,2,15.53,0.5,6.82
20170621_2170_1035137,Armitage & Larrabee,Armitage & Cleveland,2,15.65,0.72,19.23
20170621_2170_1035138,Armitage & Larrabee,Armitage & Cleveland,2,15.97,0.0,23.55
20170621_2170_1035140,Armitage & Larrabee,Armitage & Cleveland,2,16.37,0.83,13.75
20170621_2170_116122753,Armitage & Larrabee,Armitage & Cleveland,2,16.6,0.0,3.53
20170621_2170_1035141,Armitage & Larrabee,Armitage & Cleveland,2,16.65,0.43,9.83
20170621_2170_1035142,Armitage & Larrabee,Armitage & Cleveland,2,16.82,0.57,16.38
20170621_2170_1035143,Armitage & Larrabee,Armitage & Cleveland,2,17.08,0.52,2.82
20170621_2170_1035146,Armitage & Larrabee,Armitage & Cleveland,2,17.13,11.05,6.8
20170621_2170_1035145,Armitage & Larrabee,Armitage & Cleveland,2,17.25,0.7,40.33
20170621_2170_1035147,Armitage & Larrabee,Armitage & Cleveland,2,17.92,0.6,19.05
