tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Lavergne,Armitage & Leclaire/Grand,1,22.75,0.57,411.02
20170621_2169_1035237,Armitage & Lavergne,Armitage & Leclaire/Grand,2,5.6,0.47,24.05
20170621_2169_1035238,Armitage & Lavergne,Armitage & Leclaire/Grand,2,6.0,1.47,28.85
20170621_2169_1035166,Armitage & Lavergne,Armitage & Leclaire/Grand,2,6.48,0.0,9.03
20170621_2169_1035167,Armitage & Lavergne,Armitage & Leclaire/Grand,2,6.63,1.02,17.58
20170621_2169_1035165,Armitage & Lavergne,Armitage & Leclaire/Grand,2,6.93,0.2,11.98
20170621_2169_1035177,Armitage & Lavergne,Armitage & Leclaire/Grand,2,7.13,1.18,20.48
20170621_2169_1035171,Armitage & Lavergne,Armitage & Leclaire/Grand,2,7.47,0.8,12.92
20170621_2169_1035183,Armitage & Lavergne,Armitage & Leclaire/Grand,2,7.68,0.0,22.65
20170621_2169_1035174,Armitage & Lavergne,Armitage & Leclaire/Grand,2,8.07,0.53,3.52
20170621_2169_1035188,Armitage & Lavergne,Armitage & Leclaire/Grand,2,8.12,0.82,7.3
20170621_2169_1035185,Armitage & Lavergne,Armitage & Leclaire/Grand,2,8.25,0.52,8.53
20170621_2169_1035173,Armitage & Lavergne,Armitage & Leclaire/Grand,2,8.38,0.58,8.7
20170621_2169_116123172,Armitage & Lavergne,Armitage & Leclaire/Grand,2,8.53,1.98,6.97
20170621_2169_1035182,Armitage & Lavergne,Armitage & Leclaire/Grand,2,8.65,0.98,6.0
20170621_2169_1035184,Armitage & Lavergne,Armitage & Leclaire/Grand,2,8.75,0.15,8.55
20170621_2169_1035179,Armitage & Lavergne,Armitage & Leclaire/Grand,2,8.88,0.15,20.55
20170621_2169_1035172,Armitage & Lavergne,Armitage & Leclaire/Grand,2,9.23,5.33,11.88
20170621_2169_1035187,Armitage & Lavergne,Armitage & Leclaire/Grand,2,9.43,0.12,20.35
20170621_2169_1035168,Armitage & Lavergne,Armitage & Leclaire/Grand,2,9.77,8.9,13.82
20170621_2169_1035180,Armitage & Lavergne,Armitage & Leclaire/Grand,2,10.0,0.5,18.18
20170621_2169_1035181,Armitage & Lavergne,Armitage & Leclaire/Grand,2,10.3,16.17,1.78
20170621_2169_1035178,Armitage & Lavergne,Armitage & Leclaire/Grand,2,10.33,0.0,38.52
20170621_2169_1035175,Armitage & Lavergne,Armitage & Leclaire/Grand,2,10.97,2.52,0.72
20170621_2169_1035189,Armitage & Lavergne,Armitage & Leclaire/Grand,2,10.98,2.05,9.88
20170621_2169_1035169,Armitage & Lavergne,Armitage & Leclaire/Grand,2,11.15,1.45,18.52
20170621_2169_1035201,Armitage & Lavergne,Armitage & Leclaire/Grand,2,11.47,2.12,28.15
20170621_2169_1035199,Armitage & Lavergne,Armitage & Leclaire/Grand,2,11.93,0.0,8.7
20170621_2169_1035196,Armitage & Lavergne,Armitage & Leclaire/Grand,2,12.07,1.67,18.6
20170621_2169_1035198,Armitage & Lavergne,Armitage & Leclaire/Grand,2,12.38,4.77,26.65
