tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,4.95,0.53,19.37
20170621_2171_1035236,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,5.27,0.83,20.27
20170621_2170_1035092,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,5.6,0.25,12.43
20170621_2170_1035093,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,5.82,0.78,13.78
20170621_2170_1035094,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,6.03,1.68,18.8
20170621_2170_1035095,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,6.35,0.72,12.88
20170621_2170_1035096,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,6.57,0.98,17.93
20170621_2170_1035097,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,6.87,1.22,9.97
20170621_2170_10365464,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,7.03,1.57,7.13
20170621_2170_1035098,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,7.15,1.93,21.47
20170621_2170_1035100,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,7.52,1.43,7.03
20170621_2170_1035101,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,7.63,1.45,8.75
20170621_2170_1035102,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,7.77,0.0,5.77
20170621_2170_1035103,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,7.87,2.33,7.03
20170621_2170_1035104,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,7.98,1.22,23.45
20170621_2170_1035105,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,8.38,0.28,4.47
20170621_2170_1035106,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,8.45,2.58,21.68
20170621_2170_1035107,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,8.82,1.13,12.98
20170621_2170_1035108,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,9.03,8.27,12.6
20170621_2170_1035109,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,9.23,1.02,16.73
20170621_2170_1035110,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,9.52,1.3,16.12
20170621_2170_1035111,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,9.78,1.65,20.92
20170621_2170_1035112,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,10.13,1.55,0.78
20170621_2170_1035115,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,10.15,1.62,11.68
20170621_2170_1035116,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,10.35,2.52,22.48
20170621_2170_1035117,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,10.72,1.4,18.62
20170621_2170_1035118,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,11.03,1.55,11.13
20170621_2170_1035119,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,11.22,2.48,17.43
20170621_2170_1035120,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,11.5,1.02,26.97
20170621_2170_1035121,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,11.95,1.7,13.72
20170621_2170_1035122,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,12.18,1.65,41.38
20170621_2170_1035124,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,12.87,1.08,11.93
20170621_2170_1035125,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,13.07,2.03,18.07
20170621_2170_1035126,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,13.37,1.35,18.4
20170621_2170_1035127,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,13.68,0.65,18.92
20170621_2170_1035128,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,14.0,2.0,7.8
20170621_2170_1035129,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,14.12,0.63,14.42
20170621_2170_1035130,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,14.37,0.57,18.37
20170621_2170_1035131,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,14.67,0.68,5.4
20170621_2170_1035132,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,14.77,1.27,13.83
20170621_2170_1035133,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,14.98,3.17,9.97
20170621_2170_1035134,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,15.15,1.45,11.68
20170621_2170_1035135,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,15.35,0.0,12.78
20170621_2170_1035136,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,15.57,1.12,16.52
20170621_2170_1035137,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,15.83,0.27,10.1
20170621_2170_1035138,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,16.02,1.38,23.12
20170621_2170_1035140,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,16.4,2.23,13.67
20170621_2170_116122753,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,16.62,1.47,3.58
20170621_2170_1035141,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,16.68,0.87,5.18
20170621_2170_1035146,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,16.77,58.65,4.2
20170621_2170_1035142,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,16.83,1.38,15.82
20170621_2170_1035143,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,17.1,1.37,10.92
20170621_2170_1035145,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,17.28,1.0,39.85
20170621_2170_1035147,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,17.95,1.3,17.45
20170621_2170_1035148,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,18.23,0.0,18.2
20170621_2170_1035149,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,18.53,1.13,14.25
20170621_2170_1035150,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,18.78,0.82,14.93
20170621_2170_1035151,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,19.03,2.92,26.07
20170621_2170_1035152,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,19.47,1.27,25.57
20170621_2170_1035153,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,19.88,1.03,3.1
20170621_2170_1035154,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,19.93,5.33,25.2
20170621_2170_1035155,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,20.37,1.0,15.57
20170621_2170_1035156,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,20.62,1.23,24.07
20170621_2170_1035157,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,21.02,0.37,22.75
20170621_2170_1035158,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,21.4,2.55,19.4
20170621_2170_1035159,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,21.72,1.05,17.05
20170621_2170_1035160,Armitage & Lincoln/Sedgwick,Armitage & Clark,2,22.0,0.9,417.12
20170622_2171_1035235,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,4.97,0.55,17.83
20170622_2171_1035236,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,5.25,0.7,17.32
20170622_2170_1035092,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,5.55,1.03,11.9
20170622_2170_1035093,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,5.75,5.98,15.57
20170622_2170_1035094,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,6.0,1.45,19.55
20170622_2170_1035095,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,6.33,0.48,12.13
20170622_2170_1035096,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,6.53,0.87,15.78
20170622_2170_1035097,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,6.8,1.18,15.42
20170622_2170_10365464,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,7.05,1.5,4.9
20170622_2170_1035098,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,7.13,0.5,23.58
20170622_2170_1035100,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,7.53,0.82,4.95
20170622_2170_1035101,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,7.6,2.17,5.55
20170622_2170_1035102,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,7.7,0.0,9.33
20170622_2170_1035103,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,7.85,1.25,9.45
20170622_2170_1035104,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,8.02,1.87,15.38
20170622_2170_1035105,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,8.27,1.55,15.43
20170622_2170_1035106,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,8.53,1.53,3.07
20170622_2170_1035108,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,8.58,22.42,8.75
20170622_2170_1035107,Armitage & Lincoln/Sedgwick,Armitage & Clark,3,8.72,1.52,25.32
