tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage & Orchard,Armitage & Larrabee,2,4.92,0.57,18.65
20170621_2171_1035236,Armitage & Orchard,Armitage & Larrabee,2,5.23,0.52,20.07
20170621_2170_1035092,Armitage & Orchard,Armitage & Larrabee,2,5.57,0.0,13.08
20170621_2170_1035093,Armitage & Orchard,Armitage & Larrabee,2,5.78,0.47,13.45
20170621_2170_1035094,Armitage & Orchard,Armitage & Larrabee,2,6.02,0.48,18.38
20170621_2170_1035095,Armitage & Orchard,Armitage & Larrabee,2,6.32,1.0,12.95
20170621_2170_1035096,Armitage & Orchard,Armitage & Larrabee,2,6.53,0.5,18.7
20170621_2170_1035097,Armitage & Orchard,Armitage & Larrabee,2,6.85,0.0,9.48
20170621_2170_10365464,Armitage & Orchard,Armitage & Larrabee,2,7.0,0.5,8.03
20170621_2170_1035098,Armitage & Orchard,Armitage & Larrabee,2,7.13,0.0,17.38
20170621_2170_1035100,Armitage & Orchard,Armitage & Larrabee,2,7.42,0.0,9.73
20170621_2170_1035101,Armitage & Orchard,Armitage & Larrabee,2,7.58,0.32,11.2
20170621_2170_1035102,Armitage & Orchard,Armitage & Larrabee,2,7.77,0.0,4.2
20170621_2170_1035103,Armitage & Orchard,Armitage & Larrabee,2,7.85,0.72,8.6
20170621_2170_1035104,Armitage & Orchard,Armitage & Larrabee,2,7.98,0.0,12.1
20170621_2170_1035105,Armitage & Orchard,Armitage & Larrabee,2,8.18,1.62,15.42
20170621_2170_1035106,Armitage & Orchard,Armitage & Larrabee,2,8.45,0.0,15.87
20170621_2170_1035108,Armitage & Orchard,Armitage & Larrabee,2,8.72,0.5,0.68
20170621_2170_1035107,Armitage & Orchard,Armitage & Larrabee,2,8.72,3.82,28.87
20170621_2170_1035109,Armitage & Orchard,Armitage & Larrabee,2,9.2,0.6,17.18
20170621_2170_1035110,Armitage & Orchard,Armitage & Larrabee,2,9.48,0.0,7.38
20170621_2170_1035111,Armitage & Orchard,Armitage & Larrabee,2,9.62,0.17,29.88
20170621_2170_1035112,Armitage & Orchard,Armitage & Larrabee,2,10.12,0.5,1.1
20170621_2170_1035115,Armitage & Orchard,Armitage & Larrabee,2,10.13,0.45,11.6
20170621_2170_1035116,Armitage & Orchard,Armitage & Larrabee,2,10.32,0.57,21.37
20170621_2170_1035117,Armitage & Orchard,Armitage & Larrabee,2,10.68,0.5,19.95
20170621_2170_1035118,Armitage & Orchard,Armitage & Larrabee,2,11.02,0.0,10.82
20170621_2170_1035119,Armitage & Orchard,Armitage & Larrabee,2,11.18,0.0,17.2
20170621_2170_1035120,Armitage & Orchard,Armitage & Larrabee,2,11.48,1.0,27.15
20170621_2170_1035121,Armitage & Orchard,Armitage & Larrabee,2,11.93,1.0,14.17
20170621_2170_1035122,Armitage & Orchard,Armitage & Larrabee,2,12.17,0.5,38.93
20170621_2170_1035124,Armitage & Orchard,Armitage & Larrabee,2,12.82,2.0,14.4
20170621_2170_1035125,Armitage & Orchard,Armitage & Larrabee,2,13.05,0.0,16.02
20170621_2170_1035126,Armitage & Orchard,Armitage & Larrabee,2,13.32,0.52,19.93
20170621_2170_1035127,Armitage & Orchard,Armitage & Larrabee,2,13.65,0.87,18.37
20170621_2170_1035128,Armitage & Orchard,Armitage & Larrabee,2,13.97,1.0,8.23
20170621_2170_1035129,Armitage & Orchard,Armitage & Larrabee,2,14.1,0.0,14.12
20170621_2170_1035130,Armitage & Orchard,Armitage & Larrabee,2,14.33,0.0,20.32
20170621_2170_1035131,Armitage & Orchard,Armitage & Larrabee,2,14.67,0.0,3.68
20170621_2170_1035132,Armitage & Orchard,Armitage & Larrabee,2,14.73,0.47,13.92
20170621_2170_1035133,Armitage & Orchard,Armitage & Larrabee,2,14.97,0.0,9.7
20170621_2170_1035134,Armitage & Orchard,Armitage & Larrabee,2,15.13,0.0,13.58
20170621_2170_1035135,Armitage & Orchard,Armitage & Larrabee,2,15.35,0.0,10.57
20170621_2170_1035136,Armitage & Orchard,Armitage & Larrabee,2,15.53,0.52,7.82
20170621_2170_1035137,Armitage & Orchard,Armitage & Larrabee,2,15.65,0.48,17.97
20170621_2170_1035138,Armitage & Orchard,Armitage & Larrabee,2,15.95,0.78,23.83
20170621_2170_1035140,Armitage & Orchard,Armitage & Larrabee,2,16.35,0.5,13.48
20170621_2170_116122753,Armitage & Orchard,Armitage & Larrabee,2,16.58,0.77,3.8
20170621_2170_1035141,Armitage & Orchard,Armitage & Larrabee,2,16.65,0.5,10.15
20170621_2170_1035142,Armitage & Orchard,Armitage & Larrabee,2,16.82,0.18,15.97
20170621_2170_1035143,Armitage & Orchard,Armitage & Larrabee,2,17.08,0.6,9.72
20170621_2170_1035145,Armitage & Orchard,Armitage & Larrabee,2,17.23,0.5,4.85
20170621_2170_1035146,Armitage & Orchard,Armitage & Larrabee,2,17.32,11.15,35.48
20170621_2170_1035147,Armitage & Orchard,Armitage & Larrabee,2,17.92,0.5,19.55
20170621_2170_1035148,Armitage & Orchard,Armitage & Larrabee,2,18.23,0.0,15.37
20170621_2170_1035149,Armitage & Orchard,Armitage & Larrabee,2,18.5,0.28,15.25
20170621_2170_1035150,Armitage & Orchard,Armitage & Larrabee,2,18.75,0.0,15.6
20170621_2170_1035151,Armitage & Orchard,Armitage & Larrabee,2,19.02,0.58,25.12
20170621_2170_1035152,Armitage & Orchard,Armitage & Larrabee,2,19.43,0.65,24.95
20170621_2170_1035153,Armitage & Orchard,Armitage & Larrabee,2,19.85,0.47,5.83
20170621_2170_1035154,Armitage & Orchard,Armitage & Larrabee,2,19.93,0.0,22.2
20170621_2170_1035155,Armitage & Orchard,Armitage & Larrabee,2,20.32,0.5,16.75
20170621_2170_1035156,Armitage & Orchard,Armitage & Larrabee,2,20.58,0.0,23.32
20170621_2170_1035157,Armitage & Orchard,Armitage & Larrabee,2,20.98,1.02,23.82
20170621_2170_1035158,Armitage & Orchard,Armitage & Larrabee,2,21.37,1.2,19.5
20170621_2170_1035159,Armitage & Orchard,Armitage & Larrabee,2,21.7,0.5,17.23
20170621_2170_1035160,Armitage & Orchard,Armitage & Larrabee,2,21.98,0.5,416.65
20170622_2171_1035235,Armitage & Orchard,Armitage & Larrabee,3,4.93,0.92,17.97
20170622_2171_1035236,Armitage & Orchard,Armitage & Larrabee,3,5.23,0.48,17.37
20170622_2170_1035092,Armitage & Orchard,Armitage & Larrabee,3,5.52,0.5,13.4
20170622_2170_1035093,Armitage & Orchard,Armitage & Larrabee,3,5.75,0.0,14.58
20170622_2170_1035094,Armitage & Orchard,Armitage & Larrabee,3,5.98,0.0,15.68
20170622_2170_1035095,Armitage & Orchard,Armitage & Larrabee,3,6.25,0.0,15.72
20170622_2170_1035096,Armitage & Orchard,Armitage & Larrabee,3,6.52,0.5,15.2
20170622_2170_1035097,Armitage & Orchard,Armitage & Larrabee,3,6.77,0.5,15.27
20170622_2170_10365464,Armitage & Orchard,Armitage & Larrabee,3,7.02,1.0,4.23
20170622_2170_1035098,Armitage & Orchard,Armitage & Larrabee,3,7.08,0.37,23.68
20170622_2170_1035100,Armitage & Orchard,Armitage & Larrabee,3,7.48,0.8,2.82
20170622_2170_1035101,Armitage & Orchard,Armitage & Larrabee,3,7.53,3.7,10.25
20170622_2170_1035102,Armitage & Orchard,Armitage & Larrabee,3,7.7,0.0,6.03
20170622_2170_1035103,Armitage & Orchard,Armitage & Larrabee,3,7.8,0.87,10.13
20170622_2170_1035104,Armitage & Orchard,Armitage & Larrabee,3,7.97,0.0,8.28
20170622_2170_1035105,Armitage & Orchard,Armitage & Larrabee,3,8.1,1.48,23.33
20170622_2170_1035106,Armitage & Orchard,Armitage & Larrabee,3,8.5,0.5,11.87
20170622_2170_1035107,Armitage & Orchard,Armitage & Larrabee,3,8.7,0.5,12.5
20170622_2170_1035108,Armitage & Orchard,Armitage & Larrabee,3,8.9,8.18,13.63
20170622_2170_1035109,Armitage & Orchard,Armitage & Larrabee,3,9.13,0.0,9.1
20170622_2170_1035110,Armitage & Orchard,Armitage & Larrabee,3,9.28,0.0,12.4
20170622_2170_1035111,Armitage & Orchard,Armitage & Larrabee,3,9.48,3.37,34.68
20170622_2170_1035112,Armitage & Orchard,Armitage & Larrabee,3,10.07,0.0,1.08
20170622_2170_1035115,Armitage & Orchard,Armitage & Larrabee,3,10.08,0.48,15.15
20170622_2170_1035116,Armitage & Orchard,Armitage & Larrabee,3,10.33,0.5,17.5
20170622_2170_1035117,Armitage & Orchard,Armitage & Larrabee,3,10.63,0.5,21.5
20170622_2170_1035118,Armitage & Orchard,Armitage & Larrabee,3,10.98,1.0,16.05
20170622_2170_1035119,Armitage & Orchard,Armitage & Larrabee,3,11.25,0.8,18.25
20170622_2170_1035120,Armitage & Orchard,Armitage & Larrabee,3,11.57,0.0,22.38
20170622_2170_1035121,Armitage & Orchard,Armitage & Larrabee,3,11.93,0.0,10.42
20170622_2170_1035122,Armitage & Orchard,Armitage & Larrabee,3,12.1,2.77,25.23
20170622_2170_1035123,Armitage & Orchard,Armitage & Larrabee,3,12.53,0.5,13.55
20170622_2170_1035124,Armitage & Orchard,Armitage & Larrabee,3,12.75,0.8,34.77
20170622_2170_1035125,Armitage & Orchard,Armitage & Larrabee,3,13.33,0.0,14.28
20170622_2170_1035127,Armitage & Orchard,Armitage & Larrabee,3,13.57,0.0,26.6
20170622_2170_1035128,Armitage & Orchard,Armitage & Larrabee,3,14.02,0.32,6.98
20170622_2170_1035129,Armitage & Orchard,Armitage & Larrabee,3,14.13,0.0,23.97
20170622_2170_1035130,Armitage & Orchard,Armitage & Larrabee,3,14.53,0.9,4.23
20170622_2170_1035131,Armitage & Orchard,Armitage & Larrabee,3,14.6,0.48,22.47
20170622_2170_1035133,Armitage & Orchard,Armitage & Larrabee,3,14.97,0.0,9.67
20170622_2170_1035134,Armitage & Orchard,Armitage & Larrabee,3,15.13,0.0,10.32
20170622_2170_1035135,Armitage & Orchard,Armitage & Larrabee,3,15.3,0.0,10.55
20170622_2170_1035136,Armitage & Orchard,Armitage & Larrabee,3,15.48,0.58,10.6
20170622_2170_1035137,Armitage & Orchard,Armitage & Larrabee,3,15.67,0.78,17.67
20170622_2170_1035138,Armitage & Orchard,Armitage & Larrabee,3,15.95,1.0,15.23
20170622_2170_1035139,Armitage & Orchard,Armitage & Larrabee,3,16.2,0.52,10.1
20170622_2170_1035140,Armitage & Orchard,Armitage & Larrabee,3,16.38,0.0,6.78
20170622_2170_116122753,Armitage & Orchard,Armitage & Larrabee,3,16.48,0.97,9.12
20170622_2170_1035141,Armitage & Orchard,Armitage & Larrabee,3,16.63,0.48,10.8
20170622_2170_1035142,Armitage & Orchard,Armitage & Larrabee,3,16.82,0.0,13.38
20170622_2170_1035143,Armitage & Orchard,Armitage & Larrabee,3,17.05,1.18,9.92
20170622_2170_1035145,Armitage & Orchard,Armitage & Larrabee,3,17.22,0.0,8.25
20170622_2170_1035146,Armitage & Orchard,Armitage & Larrabee,3,17.35,11.15,29.95
20170622_2170_1035147,Armitage & Orchard,Armitage & Larrabee,3,17.85,0.73,14.85
20170622_2170_1035148,Armitage & Orchard,Armitage & Larrabee,3,18.1,2.43,21.45
20170622_2170_1035149,Armitage & Orchard,Armitage & Larrabee,3,18.45,0.5,20.25
20170622_2170_1035150,Armitage & Orchard,Armitage & Larrabee,3,18.78,0.52,10.58
20170622_2170_1035151,Armitage & Orchard,Armitage & Larrabee,3,18.97,0.85,24.02
20170622_2170_1035152,Armitage & Orchard,Armitage & Larrabee,3,19.37,0.0,16.32
20170622_2170_1035153,Armitage & Orchard,Armitage & Larrabee,3,19.63,1.02,20.78
20170622_2170_1035154,Armitage & Orchard,Armitage & Larrabee,3,19.98,0.5,18.37
20170622_2170_1035155,Armitage & Orchard,Armitage & Larrabee,3,20.28,0.5,21.45
20170622_2170_1035156,Armitage & Orchard,Armitage & Larrabee,3,20.65,0.5,20.9
20170622_2170_1035157,Armitage & Orchard,Armitage & Larrabee,3,21.0,0.53,20.23
