tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage & Seminary,Armitage Station (Brown Line),2,4.88,1.18,18.85
20170621_2171_1035236,Armitage & Seminary,Armitage Station (Brown Line),2,5.2,0.27,17.95
20170621_2170_1035092,Armitage & Seminary,Armitage Station (Brown Line),2,5.5,1.0,15.27
20170621_2170_1035093,Armitage & Seminary,Armitage Station (Brown Line),2,5.75,0.0,13.37
20170621_2170_1035094,Armitage & Seminary,Armitage Station (Brown Line),2,5.97,0.55,17.45
20170621_2170_1035095,Armitage & Seminary,Armitage Station (Brown Line),2,6.27,0.52,12.57
20170621_2170_1035096,Armitage & Seminary,Armitage Station (Brown Line),2,6.47,1.1,22.17
20170621_2170_1035097,Armitage & Seminary,Armitage Station (Brown Line),2,6.85,0.0,6.0
20170621_2170_10365464,Armitage & Seminary,Armitage Station (Brown Line),2,6.95,1.07,7.18
20170621_2170_1035098,Armitage & Seminary,Armitage Station (Brown Line),2,7.07,0.98,19.92
20170621_2170_1035100,Armitage & Seminary,Armitage Station (Brown Line),2,7.4,0.63,7.13
20170621_2170_1035101,Armitage & Seminary,Armitage Station (Brown Line),2,7.52,0.0,15.6
20170621_2170_1035102,Armitage & Seminary,Armitage Station (Brown Line),2,7.77,0.0,1.65
20170621_2170_1035103,Armitage & Seminary,Armitage Station (Brown Line),2,7.8,0.52,5.55
20170621_2170_1035104,Armitage & Seminary,Armitage Station (Brown Line),2,7.9,0.57,5.83
20170621_2170_1035105,Armitage & Seminary,Armitage Station (Brown Line),2,7.98,10.32,27.28
20170621_2170_1035106,Armitage & Seminary,Armitage Station (Brown Line),2,8.45,0.0,12.98
20170621_2170_1035108,Armitage & Seminary,Armitage Station (Brown Line),2,8.67,7.18,2.57
20170621_2170_1035107,Armitage & Seminary,Armitage Station (Brown Line),2,8.7,1.0,27.28
20170621_2170_1035109,Armitage & Seminary,Armitage Station (Brown Line),2,9.17,0.0,19.77
20170621_2170_1035110,Armitage & Seminary,Armitage Station (Brown Line),2,9.48,0.0,1.48
20170621_2170_1035111,Armitage & Seminary,Armitage Station (Brown Line),2,9.52,2.52,32.22
20170621_2170_1035112,Armitage & Seminary,Armitage Station (Brown Line),2,10.05,1.25,1.22
20170621_2170_1035115,Armitage & Seminary,Armitage Station (Brown Line),2,10.07,1.77,11.22
20170621_2170_1035116,Armitage & Seminary,Armitage Station (Brown Line),2,10.25,1.23,21.02
20170621_2170_1035117,Armitage & Seminary,Armitage Station (Brown Line),2,10.6,1.28,21.05
20170621_2170_1035118,Armitage & Seminary,Armitage Station (Brown Line),2,10.95,1.4,9.9
20170621_2170_1035119,Armitage & Seminary,Armitage Station (Brown Line),2,11.12,0.0,16.73
20170621_2170_1035120,Armitage & Seminary,Armitage Station (Brown Line),2,11.4,1.0,27.1
20170621_2170_1035121,Armitage & Seminary,Armitage Station (Brown Line),2,11.85,0.52,15.98
20170621_2170_1035122,Armitage & Seminary,Armitage Station (Brown Line),2,12.12,0.72,39.12
20170621_2170_1035124,Armitage & Seminary,Armitage Station (Brown Line),2,12.77,0.0,11.35
20170621_2170_1035125,Armitage & Seminary,Armitage Station (Brown Line),2,12.97,1.37,18.43
20170621_2170_1035126,Armitage & Seminary,Armitage Station (Brown Line),2,13.27,0.43,19.72
20170621_2170_1035127,Armitage & Seminary,Armitage Station (Brown Line),2,13.6,0.5,20.73
20170621_2170_1035128,Armitage & Seminary,Armitage Station (Brown Line),2,13.95,0.0,5.07
20170621_2170_1035129,Armitage & Seminary,Armitage Station (Brown Line),2,14.03,0.3,14.58
20170621_2170_1035130,Armitage & Seminary,Armitage Station (Brown Line),2,14.27,1.0,17.92
20170621_2170_1035131,Armitage & Seminary,Armitage Station (Brown Line),2,14.57,6.1,6.38
20170621_2170_1035132,Armitage & Seminary,Armitage Station (Brown Line),2,14.68,0.78,14.52
20170621_2170_1035133,Armitage & Seminary,Armitage Station (Brown Line),2,14.92,0.52,9.65
20170621_2170_1035134,Armitage & Seminary,Armitage Station (Brown Line),2,15.08,0.52,9.32
20170621_2170_1035135,Armitage & Seminary,Armitage Station (Brown Line),2,15.23,7.12,14.0
20170621_2170_1035136,Armitage & Seminary,Armitage Station (Brown Line),2,15.47,1.08,9.75
20170621_2170_1035137,Armitage & Seminary,Armitage Station (Brown Line),2,15.63,4.27,15.85
20170621_2170_1035138,Armitage & Seminary,Armitage Station (Brown Line),2,15.9,1.3,24.6
20170621_2170_1035140,Armitage & Seminary,Armitage Station (Brown Line),2,16.3,0.0,12.75
20170621_2170_116122753,Armitage & Seminary,Armitage Station (Brown Line),2,16.52,1.17,4.03
20170621_2170_1035141,Armitage & Seminary,Armitage Station (Brown Line),2,16.58,1.1,10.45
20170621_2170_1035142,Armitage & Seminary,Armitage Station (Brown Line),2,16.75,0.53,15.62
20170621_2170_1035143,Armitage & Seminary,Armitage Station (Brown Line),2,17.02,1.03,10.63
20170621_2170_1035145,Armitage & Seminary,Armitage Station (Brown Line),2,17.2,0.22,15.17
