tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,Armitage Station (Brown Line),Armitage & Fremont,2,4.9,0.0,17.93
20170621_2171_1035236,Armitage Station (Brown Line),Armitage & Fremont,2,5.2,0.75,18.68
20170621_2170_1035092,Armitage Station (Brown Line),Armitage & Fremont,2,5.52,1.43,14.27
20170621_2170_1035093,Armitage Station (Brown Line),Armitage & Fremont,2,5.75,0.48,13.92
20170621_2170_1035094,Armitage Station (Brown Line),Armitage & Fremont,2,5.98,0.5,17.42
20170621_2170_1035095,Armitage Station (Brown Line),Armitage & Fremont,2,6.27,0.85,13.15
20170621_2170_1035096,Armitage Station (Brown Line),Armitage & Fremont,2,6.48,0.47,21.07
20170621_2170_1035097,Armitage Station (Brown Line),Armitage & Fremont,2,6.85,0.0,7.07
20170621_2170_10365464,Armitage Station (Brown Line),Armitage & Fremont,2,6.97,0.5,7.1
20170621_2170_1035098,Armitage Station (Brown Line),Armitage & Fremont,2,7.08,1.22,19.57
20170621_2170_1035100,Armitage Station (Brown Line),Armitage & Fremont,2,7.4,1.17,6.5
20170621_2170_1035101,Armitage Station (Brown Line),Armitage & Fremont,2,7.52,2.0,15.6
20170621_2170_1035102,Armitage Station (Brown Line),Armitage & Fremont,2,7.77,0.0,2.17
20170621_2170_1035103,Armitage Station (Brown Line),Armitage & Fremont,2,7.82,0.9,5.6
20170621_2170_1035104,Armitage Station (Brown Line),Armitage & Fremont,2,7.9,5.03,15.58
20170621_2170_1035105,Armitage Station (Brown Line),Armitage & Fremont,2,8.17,2.67,16.97
20170621_2170_1035106,Armitage Station (Brown Line),Armitage & Fremont,2,8.45,0.0,16.55
20170621_2170_1035107,Armitage Station (Brown Line),Armitage & Fremont,2,8.72,0.0,3.62
20170621_2170_1035108,Armitage Station (Brown Line),Armitage & Fremont,2,8.78,5.85,22.67
20170621_2170_1035109,Armitage Station (Brown Line),Armitage & Fremont,2,9.17,1.17,18.73
20170621_2170_1035111,Armitage Station (Brown Line),Armitage & Fremont,2,9.47,15.25,1.03
20170621_2170_1035110,Armitage Station (Brown Line),Armitage & Fremont,2,9.48,0.0,34.95
20170621_2170_1035112,Armitage Station (Brown Line),Armitage & Fremont,2,10.07,0.7,1.73
20170621_2170_1035115,Armitage Station (Brown Line),Armitage & Fremont,2,10.1,0.52,10.68
20170621_2170_1035116,Armitage Station (Brown Line),Armitage & Fremont,2,10.28,0.5,21.07
20170621_2170_1035117,Armitage Station (Brown Line),Armitage & Fremont,2,10.63,1.1,21.17
20170621_2170_1035118,Armitage Station (Brown Line),Armitage & Fremont,2,10.98,0.7,8.5
20170621_2170_1035119,Armitage Station (Brown Line),Armitage & Fremont,2,11.12,0.0,17.73
20170621_2170_1035120,Armitage Station (Brown Line),Armitage & Fremont,2,11.42,1.5,26.62
