tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Grand & Laramie,Grand & Latrobe Terminal,1,22.77,2.38,410.95
20170621_2169_1035237,Grand & Laramie,Grand & Latrobe Terminal,2,5.62,0.32,25.18
20170621_2169_1035238,Grand & Laramie,Grand & Latrobe Terminal,2,6.03,0.68,26.72
20170621_2169_1035166,Grand & Laramie,Grand & Latrobe Terminal,2,6.48,0.0,10.47
20170621_2169_1035167,Grand & Laramie,Grand & Latrobe Terminal,2,6.67,0.52,17.02
20170621_2169_1035165,Grand & Laramie,Grand & Latrobe Terminal,2,6.95,0.52,12.3
20170621_2169_1035177,Grand & Laramie,Grand & Latrobe Terminal,2,7.15,0.92,20.7
20170621_2169_1035171,Grand & Laramie,Grand & Latrobe Terminal,2,7.5,0.0,12.17
20170621_2169_1035183,Grand & Laramie,Grand & Latrobe Terminal,2,7.7,0.77,23.3
20170621_2169_1035174,Grand & Laramie,Grand & Latrobe Terminal,2,8.08,0.37,3.65
20170621_2169_1035188,Grand & Laramie,Grand & Latrobe Terminal,2,8.15,1.18,7.67
20170621_2169_1035185,Grand & Laramie,Grand & Latrobe Terminal,2,8.27,0.08,8.0
20170621_2169_1035173,Grand & Laramie,Grand & Latrobe Terminal,2,8.4,1.18,9.42
20170621_2169_1035184,Grand & Laramie,Grand & Latrobe Terminal,2,8.77,0.5,8.33
20170621_2169_1035179,Grand & Laramie,Grand & Latrobe Terminal,2,8.9,0.55,18.68
20170621_2169_1035172,Grand & Laramie,Grand & Latrobe Terminal,2,9.22,4.43,14.67
20170621_2169_1035187,Grand & Laramie,Grand & Latrobe Terminal,2,9.45,0.52,17.73
20170621_2169_1035168,Grand & Laramie,Grand & Latrobe Terminal,2,9.75,9.22,15.32
20170621_2169_1035180,Grand & Laramie,Grand & Latrobe Terminal,2,10.0,0.82,20.37
20170621_2169_1035178,Grand & Laramie,Grand & Latrobe Terminal,2,10.35,0.52,12.47
20170621_2169_1035189,Grand & Laramie,Grand & Latrobe Terminal,2,11.05,0.08,8.9
20170621_2169_1035169,Grand & Laramie,Grand & Latrobe Terminal,2,11.2,0.25,18.77
20170621_2169_1035201,Grand & Laramie,Grand & Latrobe Terminal,2,11.5,0.63,25.23
20170621_2169_1035199,Grand & Laramie,Grand & Latrobe Terminal,2,11.93,0.0,10.9
20170621_2169_1035196,Grand & Laramie,Grand & Latrobe Terminal,2,12.12,0.37,22.17
20170621_2169_1035198,Grand & Laramie,Grand & Latrobe Terminal,2,12.48,0.48,25.03
20170621_2169_1035193,Grand & Laramie,Grand & Latrobe Terminal,2,12.9,0.33,5.88
20170621_2169_1035192,Grand & Laramie,Grand & Latrobe Terminal,2,13.9,0.43,29.33
20170621_2169_1035191,Grand & Laramie,Grand & Latrobe Terminal,2,14.4,0.78,8.13
20170621_2169_1035205,Grand & Laramie,Grand & Latrobe Terminal,2,15.12,0.72,15.47
20170621_2169_1035202,Grand & Laramie,Grand & Latrobe Terminal,2,15.37,0.33,19.98
20170621_2169_1035206,Grand & Laramie,Grand & Latrobe Terminal,2,15.7,0.47,10.82
20170621_2169_1035203,Grand & Laramie,Grand & Latrobe Terminal,2,15.88,0.53,15.95
20170621_2169_1035207,Grand & Laramie,Grand & Latrobe Terminal,2,16.15,0.4,11.23
20170621_2169_1035208,Grand & Laramie,Grand & Latrobe Terminal,2,16.33,0.68,2.58
20170621_2169_1035204,Grand & Laramie,Grand & Latrobe Terminal,2,16.38,0.85,17.65
20170621_2169_1035211,Grand & Laramie,Grand & Latrobe Terminal,2,16.68,0.0,13.9
20170621_2169_1035210,Grand & Laramie,Grand & Latrobe Terminal,2,16.9,2.1,12.43
20170621_2169_1035209,Grand & Laramie,Grand & Latrobe Terminal,2,17.12,0.63,25.92
20170621_2169_1035218,Grand & Laramie,Grand & Latrobe Terminal,2,17.55,0.07,6.02
20170621_2169_116123215,Grand & Laramie,Grand & Latrobe Terminal,2,17.65,0.12,10.35
20170621_2169_1035217,Grand & Laramie,Grand & Latrobe Terminal,2,17.82,0.0,9.27
20170621_2169_1035215,Grand & Laramie,Grand & Latrobe Terminal,2,17.97,0.73,26.17
20170621_2169_1035220,Grand & Laramie,Grand & Latrobe Terminal,2,18.42,0.67,13.03
20170621_2169_1035214,Grand & Laramie,Grand & Latrobe Terminal,2,18.63,0.48,17.67
20170621_2169_1035216,Grand & Laramie,Grand & Latrobe Terminal,2,18.92,6.82,16.38
20170621_2169_1035213,Grand & Laramie,Grand & Latrobe Terminal,2,19.2,0.43,4.68
20170621_2169_1035221,Grand & Laramie,Grand & Latrobe Terminal,2,19.27,0.08,11.68
20170621_2169_1035222,Grand & Laramie,Grand & Latrobe Terminal,2,19.47,0.7,10.6
20170621_2169_1035223,Grand & Laramie,Grand & Latrobe Terminal,2,19.65,0.43,16.83
20170621_2169_1035224,Grand & Laramie,Grand & Latrobe Terminal,2,19.92,0.58,18.73
20170621_2169_1035225,Grand & Laramie,Grand & Latrobe Terminal,2,20.23,0.72,26.82
20170621_2169_1035226,Grand & Laramie,Grand & Latrobe Terminal,2,20.68,0.63,12.8
20170621_2169_1035227,Grand & Laramie,Grand & Latrobe Terminal,2,20.9,0.0,18.32
20170621_2169_1035231,Grand & Laramie,Grand & Latrobe Terminal,2,22.27,0.5,17.17
20170621_2169_1035232,Grand & Laramie,Grand & Latrobe Terminal,2,22.55,0.42,19.75
20170621_2169_1035233,Grand & Laramie,Grand & Latrobe Terminal,2,22.88,0.22,404.42
20170622_2169_1035237,Grand & Laramie,Grand & Latrobe Terminal,3,5.62,0.88,22.9
20170622_2169_1035238,Grand & Laramie,Grand & Latrobe Terminal,3,6.0,0.7,22.58
20170622_2169_1035166,Grand & Laramie,Grand & Latrobe Terminal,3,6.38,0.43,16.37
20170622_2169_1035167,Grand & Laramie,Grand & Latrobe Terminal,3,6.65,1.05,15.43
20170622_2169_1035165,Grand & Laramie,Grand & Latrobe Terminal,3,6.9,0.58,16.13
20170622_2169_1035177,Grand & Laramie,Grand & Latrobe Terminal,3,7.18,0.48,20.98
20170622_2169_1035171,Grand & Laramie,Grand & Latrobe Terminal,3,7.53,0.35,12.42
20170622_2169_1035183,Grand & Laramie,Grand & Latrobe Terminal,3,7.73,0.42,15.9
20170622_2169_1035174,Grand & Laramie,Grand & Latrobe Terminal,3,8.0,0.55,2.23
20170622_2169_1035185,Grand & Laramie,Grand & Latrobe Terminal,3,8.03,0.0,2.33
20170622_2169_1035188,Grand & Laramie,Grand & Latrobe Terminal,3,8.07,0.0,21.3
20170622_2169_1035184,Grand & Laramie,Grand & Latrobe Terminal,3,8.75,0.58,11.38
20170622_2169_1035179,Grand & Laramie,Grand & Latrobe Terminal,3,8.93,0.5,7.82
20170622_2169_1035172,Grand & Laramie,Grand & Latrobe Terminal,3,9.07,15.47,22.17
20170622_2169_1035187,Grand & Laramie,Grand & Latrobe Terminal,3,9.43,1.62,10.02
20170622_2169_1035176,Grand & Laramie,Grand & Latrobe Terminal,3,9.6,0.0,3.73
20170622_2169_1035180,Grand & Laramie,Grand & Latrobe Terminal,3,9.67,0.0,4.45
20170622_2169_1035168,Grand & Laramie,Grand & Latrobe Terminal,3,9.75,9.53,33.27
20170622_2169_1035189,Grand & Laramie,Grand & Latrobe Terminal,3,10.97,0.37,12.33
20170622_2169_1035169,Grand & Laramie,Grand & Latrobe Terminal,3,11.17,0.78,22.15
20170622_2169_1035201,Grand & Laramie,Grand & Latrobe Terminal,3,11.55,0.52,22.7
20170622_2169_1035199,Grand & Laramie,Grand & Latrobe Terminal,3,11.92,0.0,7.92
20170622_2169_1035196,Grand & Laramie,Grand & Latrobe Terminal,3,12.05,0.42,21.08
20170622_2169_1035198,Grand & Laramie,Grand & Latrobe Terminal,3,12.4,0.87,30.43
20170622_2169_1035193,Grand & Laramie,Grand & Latrobe Terminal,3,12.92,0.38,3.82
20170622_2169_1035195,Grand & Laramie,Grand & Latrobe Terminal,3,12.97,0.0,28.57
20170622_2169_1035194,Grand & Laramie,Grand & Latrobe Terminal,3,13.45,0.67,9.65
20170622_2169_1035190,Grand & Laramie,Grand & Latrobe Terminal,3,13.62,0.42,38.67
20170622_2169_1035191,Grand & Laramie,Grand & Latrobe Terminal,3,14.25,0.0,17.53
20170622_2169_1035192,Grand & Laramie,Grand & Latrobe Terminal,3,14.55,0.5,3.5
20170622_2169_1035197,Grand & Laramie,Grand & Latrobe Terminal,3,14.6,0.0,29.58
20170622_2169_1035205,Grand & Laramie,Grand & Latrobe Terminal,3,15.1,0.72,0.72
20170622_2169_1035200,Grand & Laramie,Grand & Latrobe Terminal,3,15.12,0.0,28.67
20170622_2169_1035202,Grand & Laramie,Grand & Latrobe Terminal,3,15.58,0.65,3.02
20170622_2169_1035206,Grand & Laramie,Grand & Latrobe Terminal,3,15.63,0.57,21.68
20170622_2169_1035203,Grand & Laramie,Grand & Latrobe Terminal,3,16.0,0.57,11.33
20170622_2169_1035207,Grand & Laramie,Grand & Latrobe Terminal,3,16.18,0.68,11.23
20170622_2169_1035208,Grand & Laramie,Grand & Latrobe Terminal,3,16.38,0.52,3.05
20170622_2169_1035204,Grand & Laramie,Grand & Latrobe Terminal,3,16.43,0.32,14.07
20170622_2169_1035211,Grand & Laramie,Grand & Latrobe Terminal,3,16.67,0.1,13.43
20170622_2169_1035210,Grand & Laramie,Grand & Latrobe Terminal,3,16.88,9.23,20.48
20170622_2169_1035209,Grand & Laramie,Grand & Latrobe Terminal,3,17.23,0.33,11.88
20170622_2169_1035219,Grand & Laramie,Grand & Latrobe Terminal,3,17.43,0.98,4.28
