tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170621_2171_1035235,LaSalle & Eugenie,North Ave & LaSalle,2,4.98,0.28,19.28
20170621_2171_1035236,LaSalle & Eugenie,North Ave & LaSalle,2,5.3,0.0,21.13
20170621_2170_1035092,LaSalle & Eugenie,North Ave & LaSalle,2,5.65,0.43,11.82
20170621_2170_1035093,LaSalle & Eugenie,North Ave & LaSalle,2,5.85,0.6,15.95
20170621_2170_1035094,LaSalle & Eugenie,North Ave & LaSalle,2,6.12,0.82,17.1
20170621_2170_1035095,LaSalle & Eugenie,North Ave & LaSalle,2,6.4,0.0,14.73
20170621_2170_1035096,LaSalle & Eugenie,North Ave & LaSalle,2,6.65,0.52,15.92
20170621_2170_1035097,LaSalle & Eugenie,North Ave & LaSalle,2,6.92,0.85,10.82
20170621_2170_10365464,LaSalle & Eugenie,North Ave & LaSalle,2,7.1,0.0,7.42
20170621_2170_1035098,LaSalle & Eugenie,North Ave & LaSalle,2,7.22,1.0,22.22
20170621_2170_1035100,LaSalle & Eugenie,North Ave & LaSalle,2,7.58,0.68,7.52
20170621_2170_1035101,LaSalle & Eugenie,North Ave & LaSalle,2,7.72,4.73,5.52
20170621_2170_1035102,LaSalle & Eugenie,North Ave & LaSalle,2,7.8,0.0,8.72
20170621_2170_1035103,LaSalle & Eugenie,North Ave & LaSalle,2,7.95,0.78,5.87
20170621_2170_1035104,LaSalle & Eugenie,North Ave & LaSalle,2,8.05,0.0,15.52
20170621_2170_1035105,LaSalle & Eugenie,North Ave & LaSalle,2,8.3,0.38,15.33
20170621_2170_1035106,LaSalle & Eugenie,North Ave & LaSalle,2,8.57,0.0,18.7
20170621_2170_1035107,LaSalle & Eugenie,North Ave & LaSalle,2,8.87,1.53,10.93
20170621_2170_1035108,LaSalle & Eugenie,North Ave & LaSalle,2,9.05,1.03,14.37
20170621_2170_1035109,LaSalle & Eugenie,North Ave & LaSalle,2,9.3,0.0,34.63
20170621_2170_1035111,LaSalle & Eugenie,North Ave & LaSalle,2,9.87,10.23,20.38
