route,first_departure,last_arrival,type
1,05:35:00,10:01:00,W
1,14:20:00,19:50:00,W
2,05:55:00,10:38:00,W
2,15:27:00,20:21:00,W
3,04:20:00,23:59:59,W
3,04:20:00,23:59:59,S
3,05:50:00,23:59:59,U
4,00:00:00,23:59:59,W
4,00:00:00,23:59:59,S
4,00:00:00,23:59:59,U
5,03:10:00,06:09:00,W
5,23:45:00,03:44:59,W
5,03:10:00,06:07:00,S
5,23:45:00,03:44:59,S
5,03:10:00,06:33:00,U
5,23:45:00,03:44:59,U
6,03:55:00,23:59:59,W
6,04:40:00,23:59:59,S
6,04:50:00,23:59:59,U
7,05:27:00,23:06:00,W
8,04:00:00,23:59:59,W
8,03:38:00,23:59:59,S
8,04:04:00,23:59:59,U
8A,05:25:00,21:37:00,W
8A,05:30:00,21:39:00,S
8A,05:35:00,21:28:00,U
9,00:00:00,23:59:59,W
9,00:00:00,23:59:59,S
9,00:00:00,23:59:59,U
X9,04:43:00,12:23:00,W
X9,13:26:00,21:23:00,W
10,08:45:00,19:21:00,W
10,08:45:00,19:22:00,S
10,08:45:00,19:23:00,U
11,05:55:00,20:25:00,W
11,07:06:00,20:22:00,S
11,07:03:00,19:51:00,U
12,03:33:00,23:59:59,W
12,03:44:00,23:59:59,S
12,03:44:00,23:59:59,U
J14,03:40:00,23:59:59,W
J14,05:10:00,23:59:59,S
J14,06:15:00,23:16:00,U
15,04:00:00,23:59:59,W
15,04:55:00,23:59:59,S
15,04:55:00,23:59:59,U
18,05:19:00,22:31:00,W
18,06:19:00,21:09:00,S
18,07:20:00,21:02:00,U
20,00:00:00,23:59:59,W
20,00:00:00,23:59:59,S
20,00:00:00,23:59:59,U
21,03:55:00,23:59:59,W
21,03:53:00,23:59:59,S
21,05:45:00,23:59:59,U
22,00:00:00,23:59:59,W
22,00:00:00,23:59:59,S
22,00:00:00,23:59:59,U
24,05:02:00,21:47:00,W
26,04:10:00,23:03:00,W
28,03:55:00,23:59:59,W
28,04:40:00,23:59:59,S
28,05:00:00,23:59:59,U
29,03:53:00,23:59:59,W
29,03:53:00,23:59:59,S
29,03:53:00,23:59:59,U
30,04:19:00,23:53:00,W
30,04:40:00,23:52:00,S
30,05:46:00,23:40:00,U
31,09:32:00,20:09:00,W
34,00:00:00,23:59:59,W
34,00:00:00,23:59:59,S
34,00:00:00,23:59:59,U
35,03:52:00,23:59:59,W
35,03:52:00,23:59:59,S
35,03:52:00,23:59:59,U
36,03:55:00,23:59:59,W
36,04:04:00,23:59:59,S
36,04:05:00,23:59:59,U
37,05:55:00,20:30:00,W
39,04:55:00,23:45:00,W
39,07:25:00,19:01:00,S
39,07:25:00,19:01:00,U
43,04:55:00,23:37:00,W
43,06:35:00,20:06:00,S
43,06:55:00,20:07:00,U
44,04:16:00,23:43:00,W
44,07:45:00,20:07:00,S
44,20:46:00,20:05:00,U
47,03:28:00,23:59:59,W
47,03:25:00,23:59:59,S
47,03:27:00,23:59:59,U
48,06:03:00,19:43:00,W
49,00:00:00,23:59:59,W
49,00:00:00,23:59:59,S
49,00:00:00,23:59:59,U
49B,04:08:00,23:59:59,W
49B,04:07:00,23:59:59,S
49B,05:07:00,23:59:59,U
X49,05:25:00,19:24:00,W
50,04:25:00,23:59:59,W
50,04:55:00,23:59:59,S
50,04:55:00,23:59:59,U
51,05:25:00,21:49:00,W
51,05:30:00,21:51:00,S
51,07:35:00,22:00:00,U
